symbol,name,series
20MICRONS.NS,20 Microns Limited,EQ
21STCENMGM.NS,21st Century Management Services Limited,EQ
360ONE.NS,360 ONE WAM LIMITED,EQ
3BBLACKBIO.NS,3B Blackbio Dx Limited,EQ
3IINFOLTD.NS,3i Infotech Limited,EQ
3MINDIA.NS,3M India Limited,EQ
3PLAND.NS,3P Land Holdings Limited,EQ
5PAISA.NS,5Paisa Capital Limited,EQ
63MOONS.NS,63 moons technologies limited,EQ
A2ZINFRA.NS,A2Z Infra Engineering Limited,EQ
AAATECH.NS,AAA Technologies Limited,EQ
AADHARHFC.NS,Aadhar Housing Finance Limited,EQ
AAKASH.NS,Aakash Exploration Services Limited,EQ
AAREYDRUGS.NS,Aarey Drugs & Pharmaceuticals Limited,BE
AARNAV.NS,Aarnav Fashions Limited,EQ
AARON.NS,Aaron Industries Limited,EQ
AARTECH.NS,Aartech Solonics Limited,EQ
AARTIDRUGS.NS,Aarti Drugs Limited,EQ
AARTIIND.NS,Aarti Industries Limited,EQ
AARTIPHARM.NS,Aarti Pharmalabs Limited,EQ
AARTISURF.NS,Aarti Surfactants Limited,EQ
AARVI.NS,Aarvi Encon Limited,EQ
AASTHA.NS,Aastha Spintex Limited,BE
AAVAS.NS,Aavas Financiers Limited,EQ
ABAN.NS,Aban Offshore Limited,BE
ABANSENT.NS,Abans Enterprises Limited,BE
ABB.NS,ABB India Limited,EQ
ABBOTINDIA.NS,Abbott India Limited,EQ
ABCAPITAL.NS,Aditya Birla Capital Limited,EQ
ABCOTS.NS,A B Cotspin India Limited,EQ
ABDL.NS,Allied Blenders and Distillers Limited,EQ
ABFRL.NS,Aditya Birla Fashion and Retail Limited,EQ
ABINFRA.NS,A B Infrabuild Limited,EQ
ABLBL.NS,Aditya Birla Lifestyle Brands Limited,EQ
ABMINTLLTD.NS,ABM International Limited,EQ
ABMKNO.NS,ABM Knowledgeware Limited,EQ
ABREL.NS,Aditya Birla Real Estate Limited,EQ
ABSLAMC.NS,Aditya Birla Sun Life AMC Limited,EQ
ACC.NS,ACC Limited,EQ
ACCELYA.NS,Accelya Solutions India Limited,EQ
ACCURACY.NS,Accuracy Shipping Limited,BE
ACE.NS,Action Construction Equipment Limited,EQ
ACEINTEG.NS,Ace Integrated Solutions Limited,EQ
ACI.NS,Archean Chemical Industries Limited,EQ
ACL.NS,Andhra Cements Limited,EQ
ACMESOLAR.NS,Acme Solar Holdings Limited,EQ
ACSTECH.NS,ACS Technologies Limited,EQ
ACUTAAS.NS,Acutaas Chemicals Limited,EQ
ADANIENSOL.NS,Adani Energy Solutions Limited,EQ
ADANIENT.NS,Adani Enterprises Limited,EQ
ADANIGREEN.NS,Adani Green Energy Limited,EQ
ADANIPORTS.NS,Adani Ports and Special Economic Zone Limited,EQ
ADANIPOWER.NS,Adani Power Limited,EQ
ADFFOODS.NS,ADF Foods Limited,EQ
ADL.NS,Archidply Decor Limited,EQ
ADOR.NS,Ador Welding Limited,EQ
ADROITINFO.NS,Adroit Infotech Limited,EQ
ADSL.NS,Allied Digital Services Limited,EQ
ADVAIT.NS,Advait Energy Transitions Limited,EQ
ADVANCE.NS,Advance Agrolife Limited,EQ
ADVANIHOTR.NS,Advani Hotels & Resorts (India) Limited,EQ
ADVENTHTL.NS,Advent Hotels International Limited,EQ
ADVENZYMES.NS,Advanced Enzyme Technologies Limited,EQ
AEGISLOG.NS,Aegis Logistics Limited,EQ
AEGISVOPAK.NS,Aegis Vopak Terminals Limited,EQ
AEPL.NS,Artemis Electricals and Projects Limited,EQ
AEQUS.NS,Aequs Limited,EQ
AEROENTER.NS,Aeroflex Enterprises Limited,EQ
AEROFLEX.NS,Aeroflex Industries Limited,EQ
AERONEU.NS,Aeroflex Neu Limited,EQ
AETHER.NS,Aether Industries Limited,EQ
AFCONS.NS,Afcons Infrastructure Limited,EQ
AFFLE.NS,Affle 3i Limited,EQ
AFFORDABLE.NS,Affordable Robotic & Automation Limited,BE
AFIL.NS,Akme Fintrade (India) Limited,BE
AFSL.NS,Abans Financial Services Limited,EQ
AGARIND.NS,Agarwal Industrial Corporation Limited,EQ
AGARWALEYE.NS,Dr. Agarwal's Health Care Limited,EQ
AGI.NS,AGI Greenpac Limited,EQ
AGIIL.NS,Agi Infra Limited,EQ
AGL.NS,Allcargo Global Limited,BE
AGRITECH.NS,Agri-Tech (India) Limited,BE
AGROPHOS.NS,Agro Phos India Limited,EQ
AHCL.NS,Anlon Healthcare Limited,EQ
AHLADA.NS,Ahlada Engineers Limited,EQ
AHLEAST.NS,Asian Hotels (East) Limited,EQ
AHLUCONT.NS,Ahluwalia Contracts (India) Limited,EQ
AHLWEST.NS,Asian Hotels (West) Limited,BE
AIAENG.NS,AIA Engineering Limited,EQ
AIIL.NS,Authum Investment & Infrastructure Limited,EQ
AIRAN.NS,Airan Limited,EQ
AIROLAM.NS,Airo Lam limited,EQ
AJANTPHARM.NS,Ajanta Pharma Limited,EQ
AJAXENGG.NS,Ajax Engineering Limited,EQ
AJMERA.NS,Ajmera Realty & Infra India Limited,EQ
AJOONI.NS,Ajooni Biotech Limited,EQ
AKASH.NS,Akash Infra-Projects Limited,EQ
AKCAPIT.NS,AK Capital Services Limited,EQ
AKG.NS,Akg Exim Limited,EQ
AKI.NS,AKI India Limited,EQ
AKSHAR.NS,Akshar Spintex Limited,EQ
AKSHARCHEM.NS,AksharChem India Limited,BE
AKSHOPTFBR.NS,Aksh Optifibre Limited,BE
AKUMS.NS,Akums Drugs and Pharmaceuticals Limited,EQ
ALANKIT.NS,Alankit Limited,EQ
ALBERTDAVD.NS,Albert David Limited,EQ
ALEMBICLTD.NS,Alembic Limited,EQ
ALGOQUANT.NS,Algoquant Fintech Limited,EQ
ALICON.NS,Alicon Castalloy Limited,EQ
ALIVUS.NS,Alivus Life Sciences Limited,EQ
ALKALI.NS,Alkali Metals Limited,BE
ALKEM.NS,Alkem Laboratories Limited,EQ
ALKYLAMINE.NS,Alkyl Amines Chemicals Limited,EQ
ALLCARGO.NS,Allcargo Logistics Limited,EQ
ALLDIGI.NS,Alldigi Tech Limited,EQ
ALLTIME.NS,All Time Plastics Limited,EQ
ALMONDZ.NS,Almondz Global Securities Limited,EQ
ALOKINDS.NS,Alok Industries Limited,EQ
ALPA.NS,Alpa Laboratories Limited,EQ
ALPHAGEO.NS,Alphageo (India) Limited,EQ
AMAGI.NS,Amagi Media Labs Limited,EQ
AMANTA.NS,Amanta Healthcare Limited,BE
AMBALALSA.NS,Ambalal Sarabhai Enterprises Limited,EQ
AMBER.NS,Amber Enterprises India Limited,EQ
AMBICAAGAR.NS,Ambica Agarbathies & Aroma industries Limited,EQ
AMBIKCO.NS,Ambika Cotton Mills Limited,EQ
AMBUJACEM.NS,Ambuja Cements Limited,EQ
AMDIND.NS,AMD Industries Limited,EQ
AMIRCHAND.NS,Amir Chand Jagdish Kumar (Exports) Limited,EQ
AMJLAND.NS,Amj Land Holdings Limited,EQ
AMNPLST.NS,Amines & Plasticizers Limited,EQ
AMRUTANJAN.NS,Amrutanjan Health Care Limited,EQ
ANANDRATHI.NS,Anand Rathi Wealth Limited,EQ
ANANTRAJ.NS,Anant Raj Limited,EQ
ANDHRAPAP.NS,ANDHRA PAPER LIMITED,EQ
ANDHRSUGAR.NS,The Andhra Sugars Limited,EQ
ANGELONE.NS,Angel One Limited,EQ
ANIKINDS.NS,Anik Industries Limited,BE
ANKITMETAL.NS,Ankit Metal & Power Limited,BZ
ANMOL.NS,Anmol India Limited,EQ
ANSALAPI.NS,Ansal Properties & Infrastructure Limited,BZ
ANTELOPUS.NS,Antelopus Selan Energy Limited,EQ
ANTGRAPHIC.NS,Antarctica Limited,EQ
ANTHEM.NS,Anthem Biosciences Limited,EQ
ANUHPHR.NS,Anuh Pharma Limited,EQ
ANUP.NS,The Anup Engineering Limited,EQ
ANURAS.NS,Anupam Rasayan India Limited,EQ
APARINDS.NS,Apar Industries Limited,EQ
APCL.NS,Anjani Portland Cement Limited,EQ
APCOTEXIND.NS,Apcotex Industries Limited,EQ
APEX.NS,Apex Frozen Foods Limited,EQ
APLAPOLLO.NS,APL Apollo Tubes Limited,EQ
APLLTD.NS,Alembic Pharmaceuticals Limited,EQ
APOLLO.NS,Apollo Micro Systems Limited,EQ
APOLLOHOSP.NS,Apollo Hospitals Enterprise Limited,EQ
APOLLOPIPE.NS,Apollo Pipes Limited,EQ
APOLLOTYRE.NS,Apollo Tyres Limited,EQ
APOLSINHOT.NS,Apollo Sindoori Hotels Limited,EQ
APTECHT.NS,Aptech Limited,BE
APTUS.NS,Aptus Value Housing Finance India Limited,EQ
AQYLON.NS,Aqylon Nexus Limited,EQ
ARCHIDPLY.NS,Archidply Industries Limited,EQ
ARCHIES.NS,Archies Limited,EQ
ARE&M.NS,Amara Raja Energy & Mobility Limited,EQ
ARENTERP.NS,Rajdarshan Industries Limited,EQ
ARFIN.NS,Arfin India Limited,EQ
ARIES.NS,Aries Agro Limited,EQ
ARIHANT.NS,Arihant Foundations & Housing Limited,EQ
ARIHANTCAP.NS,Arihant Capital Markets Limited,EQ
ARIHANTSUP.NS,Arihant Superstructures Limited,EQ
ARIS.NS,Arisinfra Solutions Limited,EQ
ARKADE.NS,Arkade Developers Limited,EQ
ARMANFIN.NS,Arman Financial Services Limited,EQ
AROGRANITE.NS,Aro Granite Industries Limited,EQ
ARROWGREEN.NS,Arrow Greentech Limited,BE
ARSHIYA.NS,Arshiya Limited,BZ
ARSSBL.NS,Anand Rathi Share and Stock Brokers Limited,EQ
ARTEMISMED.NS,Artemis Medicare Services Limited,EQ
ARTNIRMAN.NS,Art Nirman Limited,EQ
ARVEE.NS,Arvee Laboratories (India) Limited,EQ
ARVIND.NS,Arvind Limited,EQ
ARVINDFASN.NS,Arvind Fashions Limited,EQ
ARVSMART.NS,Arvind SmartSpaces Limited,EQ
ASAHIINDIA.NS,Asahi India Glass Limited,EQ
ASAHISONG.NS,Asahi Songwon Colors Limited,EQ
ASAL.NS,Automotive Stampings and Assemblies Limited,EQ
ASALCBR.NS,Associated Alcohols & Breweries Ltd.,EQ
ASHAPURMIN.NS,Ashapura Minechem Limited,EQ
ASHIANA.NS,Ashiana Housing Limited,EQ
ASHIKA.NS,Ashika Credit Capital Limited,EQ
ASHIMASYN.NS,Ashima Limited,EQ
ASHOKA.NS,Ashoka Buildcon Limited,EQ
ASHOKAMET.NS,Ashoka Metcast Limited,EQ
ASHOKLEY.NS,Ashok Leyland Limited,EQ
ASIANENE.NS,Asian Energy Services Limited,EQ
ASIANHOTNR.NS,Asian Hotels (North) Limited,EQ
ASIANPAINT.NS,Asian Paints Limited,EQ
ASIANTILES.NS,Asian Granito India Limited,EQ
ASKAUTOLTD.NS,ASK Automotive Limited,EQ
ASMS.NS,Avio Smart Market Stack Limited,BE
ASPINWALL.NS,Aspinwall and Company Limited,EQ
ASTAR.NS,Asian Star Company Limited,EQ
ASTEC.NS,Astec LifeSciences Limited,EQ
ASTERDM.NS,Aster DM Healthcare Limited,EQ
ASTRAL.NS,Astral Limited,EQ
ASTRAMICRO.NS,Astra Microwave Products Limited,EQ
ASTRAZEN.NS,AstraZeneca Pharma India Limited,EQ
ASTRON.NS,Astron Paper & Board Mill Limited,BE
ATALREAL.NS,Atal Realtech Limited,EQ
ATAM.NS,Atam Valves Limited,EQ
ATGL.NS,Adani Total Gas Limited,EQ
ATHERENERG.NS,Ather Energy Limited,EQ
ATL.NS,Allcargo Terminals Limited,EQ
ATLANTAA.NS,ATLANTAA LIMITED,EQ
ATLANTAELE.NS,Atlanta Electricals Limited,EQ
ATLASCYCLE.NS,Atlas Cycles (Haryana) Limited,EQ
ATUL.NS,Atul Limited,EQ
ATULAUTO.NS,Atul Auto Limited,EQ
AUBANK.NS,AU Small Finance Bank Limited,EQ
AURIONPRO.NS,Aurionpro Solutions Limited,EQ
AUROPHARMA.NS,Aurobindo Pharma Limited,EQ
AURUM.NS,Aurum PropTech Limited,EQ
AUSOMENT.NS,Ausom Enterprise Limited,BE
AUTOAXLES.NS,Automotive Axles Limited,EQ
AUTOIND.NS,Autoline Industries Limited,BE
AVADHSUGAR.NS,Avadh Sugar & Energy Limited,BE
AVALON.NS,Avalon Technologies Limited,EQ
AVANTEL.NS,Avantel Limited,EQ
AVANTIFEED.NS,Avanti Feeds Limited,EQ
AVG.NS,AVG Logistics Limited,BE
