symbol,name,sector
RELIANCE.NS,Reliance Industries,Energy
TCS.NS,Tata Consultancy Services,IT
HDFCBANK.NS,HDFC Bank,Financial Services
INFY.NS,Infosys,IT
HINDUNILVR.NS,Hindustan Unilever,FMCG
ICICIBANK.NS,ICICI Bank,Financial Services
KOTAKBANK.NS,Kotak Mahindra Bank,Financial Services
SBIN.NS,State Bank of India,Financial Services
BHARTIARTL.NS,Bharti Airtel,Telecom
ITC.NS,ITC,FMCG
AXISBANK.NS,Axis Bank,Financial Services
LT.NS,Larsen and Toubro,Construction
ASIANPAINT.NS,Asian Paints,Consumer Durables
MARUTI.NS,Maruti Suzuki,Automobile
HCLTECH.NS,HCL Technologies,IT
WIPRO.NS,Wipro,IT
ULTRACEMCO.NS,UltraTech Cement,Cement
TITAN.NS,Titan Company,Consumer Durables
NESTLEIND.NS,Nestle India,FMCG
BAJFINANCE.NS,Bajaj Finance,Financial Services
TATAMOTORS.NS,Tata Motors,Automobile
TATASTEEL.NS,Tata Steel,Metals
SUNPHARMA.NS,Sun Pharma,Pharma
ONGC.NS,ONGC,Energy
M&M.NS,Mahindra and Mahindra,Automobile
NTPC.NS,NTPC,Power
POWERGRID.NS,Power Grid,Power
TECHM.NS,Tech Mahindra,IT
INDUSINDBK.NS,IndusInd Bank,Financial Services
ADANIPORTS.NS,Adani Ports,Logistics
JSWSTEEL.NS,JSW Steel,Metals
COALINDIA.NS,Coal India,Energy
GRASIM.NS,Grasim Industries,Materials
HINDALCO.NS,Hindalco Industries,Metals
BAJAJFINSV.NS,Bajaj Finserv,Financial Services
DRREDDY.NS,Dr Reddy's Laboratories,Pharma
CIPLA.NS,Cipla,Pharma
EICHERMOT.NS,Eicher Motors,Automobile
HEROMOTOCO.NS,Hero MotoCorp,Automobile
BRITANNIA.NS,Britannia Industries,FMCG
